country,continent,year,lifeExp,pop,gdpPercap
Honduras,Americas,1982,60.909,3669448,3121.760794
"Hong Kong, China",Asia,1982,75.45,5264500,14560.53051
Hungary,Europe,1982,69.39,10705535,12545.99066
Iceland,Europe,1982,76.99,233997,23269.6075
India,Asia,1982,56.596,708000000,855.7235377
Indonesia,Asia,1982,56.159,153343000,1516.872988
Iran,Asia,1982,59.62,43072751,7608.334602
Iraq,Asia,1982,62.038,14173318,14517.90711
Ireland,Europe,1982,73.1,3480000,12618.32141
Israel,Asia,1982,74.45,3858421,15367.0292
Italy,Europe,1982,74.98,56535636,16537.4835
Jamaica,Americas,1982,71.21,2298309,6068.05135
Japan,Asia,1982,77.11,118454974,19384.10571
Jordan,Asia,1982,63.739,2347031,4161.415959
Kenya,Africa,1982,58.766,17661452,1348.225791
"Korea, Dem. Rep.",Asia,1982,69.1,17647518,4106.525293
"Korea, Rep.",Asia,1982,67.123,39326000,5622.942464
Kuwait,Asia,1982,71.309,1497494,31354.03573
Lebanon,Asia,1982,66.983,3086876,7640.519521
Lesotho,Africa,1982,55.078,1411807,797.2631074
Liberia,Africa,1982,44.852,1956875,572.1995694
Libya,Africa,1982,62.155,3344074,17364.27538
Madagascar,Africa,1982,48.969,9171477,1302.878658
Malawi,Africa,1982,45.642,6502825,632.8039209
Malaysia,Asia,1982,68,14441916,4920.355951
Mali,Africa,1982,43.916,6998256,618.0140641
Mauritania,Africa,1982,53.599,1622136,1481.150189
Mauritius,Africa,1982,66.711,992040,3688.037739
Mexico,Americas,1982,67.405,71640904,9611.147541
Mongolia,Asia,1982,57.489,1756032,2000.603139
Montenegro,Europe,1982,74.101,562548,11222.58762
Morocco,Africa,1982,59.65,20198730,2702.620356
Mozambique,Africa,1982,42.795,12587223,462.2114149
Myanmar,Asia,1982,58.056,34680442,424
Namibia,Africa,1982,58.968,1099010,4191.100511
Nepal,Asia,1982,49.594,15796314,718.3730947
Netherlands,Europe,1982,76.05,14310401,21399.46046
New Zealand,Oceania,1982,73.84,3210650,17632.4104
Nicaragua,Americas,1982,59.298,2979423,3470.338156
Niger,Africa,1982,42.598,6437188,909.7221354
Nigeria,Africa,1982,45.826,73039376,1576.97375
Norway,Europe,1982,75.97,4114787,26298.63531
Oman,Asia,1982,62.728,1301048,12954.79101
Pakistan,Asia,1982,56.158,91462088,1443.429832
Panama,Americas,1982,70.472,2036305,7009.601598
Paraguay,Americas,1982,66.874,3366439,4258.503604
Peru,Americas,1982,61.406,18125129,6434.501797
Philippines,Asia,1982,62.082,53456774,2603.273765
Poland,Europe,1982,71.32,36227381,8451.531004
Portugal,Europe,1982,72.77,9859650,11753.84291
Puerto Rico,Americas,1982,73.75,3279001,10330.98915
Reunion,Africa,1982,69.885,517810,5267.219353
Romania,Europe,1982,69.66,22356726,9605.314053
Rwanda,Africa,1982,46.218,5507565,881.5706467
Sao Tome and Principe,Africa,1982,60.351,98593,1890.218117
Saudi Arabia,Asia,1982,63.012,11254672,33693.17525
Senegal,Africa,1982,52.379,6147783,1518.479984
Serbia,Europe,1982,70.162,9032824,15181.0927
Sierra Leone,Africa,1982,38.445,3464522,1465.010784
Singapore,Asia,1982,71.76,2651869,15169.16112
Slovak Republic,Europe,1982,70.8,5048043,11348.54585
Slovenia,Europe,1982,71.063,1861252,17866.72175
Somalia,Africa,1982,42.955,5828892,1176.807031
South Africa,Africa,1982,58.161,31140029,8568.266228
Spain,Europe,1982,76.3,37983310,13926.16997
Sri Lanka,Asia,1982,68.757,15410151,1648.079789
Sudan,Africa,1982,50.338,20367053,1895.544073
Swaziland,Africa,1982,55.561,649901,3895.384018
Sweden,Europe,1982,76.42,8325260,20667.38125
Switzerland,Europe,1982,76.21,6468126,28397.71512
Syria,Asia,1982,64.59,9410494,3761.837715
Taiwan,Asia,1982,72.16,18501390,7426.354774
Tanzania,Africa,1982,50.608,19844382,874.2426069
Thailand,Asia,1982,64.597,48827160,2393.219781
Togo,Africa,1982,55.471,2644765,1344.577953
Trinidad and Tobago,Americas,1982,68.832,1116479,9119.528607
Tunisia,Africa,1982,64.048,6734098,3560.233174
Turkey,Europe,1982,61.036,47328791,4241.356344
Uganda,Africa,1982,49.849,12939400,682.2662268
United Kingdom,Europe,1982,74.04,56339704,18232.42452
United States,Americas,1982,74.65,232187835,25009.55914
Uruguay,Americas,1982,70.805,2953997,6920.223051
Venezuela,Americas,1982,68.557,15620766,11152.41011
Vietnam,Asia,1982,58.816,56142181,707.2357863
West Bank and Gaza,Asia,1982,64.406,1425876,4336.032082
"Yemen, Rep.",Asia,1982,49.113,9657618,1977.55701
Zambia,Africa,1982,51.821,6100407,1408.678565
Zimbabwe,Africa,1982,60.363,7636524,788.8550411
