country,continent,year,lifeExp,pop,gdpPercap
Guinea,Africa,1952,33.609,2664249,510.1964923
Guinea-Bissau,Africa,1952,32.5,580653,299.850319
Haiti,Americas,1952,37.579,3201488,1840.366939
Honduras,Americas,1952,41.912,1517453,2194.926204
"Hong Kong, China",Asia,1952,60.96,2125900,3054.421209
Hungary,Europe,1952,64.03,9504000,5263.673816
Iceland,Europe,1952,72.49,147962,7267.688428
India,Asia,1952,37.373,372000000,546.5657493
Indonesia,Asia,1952,37.468,82052000,749.6816546
Iran,Asia,1952,44.869,17272000,3035.326002
Iraq,Asia,1952,45.32,5441766,4129.766056
Ireland,Europe,1952,66.91,2952156,5210.280328
Israel,Asia,1952,65.39,1620914,4086.522128
Italy,Europe,1952,65.94,47666000,4931.404155
Jamaica,Americas,1952,58.53,1426095,2898.530881
Japan,Asia,1952,63.03,86459025,3216.956347
Jordan,Asia,1952,43.158,607914,1546.907807
Kenya,Africa,1952,42.27,6464046,853.540919
"Korea, Dem. Rep.",Asia,1952,50.056,8865488,1088.277758
"Korea, Rep.",Asia,1952,47.453,20947571,1030.592226
Kuwait,Asia,1952,55.565,160000,108382.3529
Lebanon,Asia,1952,55.928,1439529,4834.804067
Lesotho,Africa,1952,42.138,748747,298.8462121
Liberia,Africa,1952,38.48,863308,575.5729961
Libya,Africa,1952,42.723,1019729,2387.54806
Madagascar,Africa,1952,36.681,4762912,1443.011715
Malawi,Africa,1952,36.256,2917802,369.1650802
Malaysia,Asia,1952,48.463,6748378,1831.132894
Mali,Africa,1952,33.685,3838168,452.3369807
Mauritania,Africa,1952,40.543,1022556,743.1159097
Mauritius,Africa,1952,50.986,516556,1967.955707
Mexico,Americas,1952,50.789,30144317,3478.125529
Mongolia,Asia,1952,42.244,800663,786.5668575
Montenegro,Europe,1952,59.164,413834,2647.585601
Morocco,Africa,1952,42.873,9939217,1688.20357
Mozambique,Africa,1952,31.286,6446316,468.5260381
Myanmar,Asia,1952,36.319,20092996,331
Namibia,Africa,1952,41.725,485831,2423.780443
Nepal,Asia,1952,36.157,9182536,545.8657229
Netherlands,Europe,1952,72.13,10381988,8941.571858
New Zealand,Oceania,1952,69.39,1994794,10556.57566
Nicaragua,Americas,1952,42.314,1165790,3112.363948
Niger,Africa,1952,37.444,3379468,761.879376
Nigeria,Africa,1952,36.324,33119096,1077.281856
Norway,Europe,1952,72.67,3327728,10095.42172
Oman,Asia,1952,37.578,507833,1828.230307
Pakistan,Asia,1952,43.436,41346560,684.5971438
Panama,Americas,1952,55.191,940080,2480.380334
Paraguay,Americas,1952,62.649,1555876,1952.308701
Peru,Americas,1952,43.902,8025700,3758.523437
Philippines,Asia,1952,47.752,22438691,1272.880995
Poland,Europe,1952,61.31,25730551,4029.329699
Portugal,Europe,1952,59.82,8526050,3068.319867
Puerto Rico,Americas,1952,64.28,2227000,3081.959785
Reunion,Africa,1952,52.724,257700,2718.885295
Romania,Europe,1952,61.05,16630000,3144.613186
Rwanda,Africa,1952,40,2534927,493.3238752
Sao Tome and Principe,Africa,1952,46.471,60011,879.5835855
Saudi Arabia,Asia,1952,39.875,4005677,6459.554823
Senegal,Africa,1952,37.278,2755589,1450.356983
Serbia,Europe,1952,57.996,6860147,3581.459448
Sierra Leone,Africa,1952,30.331,2143249,879.7877358
Singapore,Asia,1952,60.396,1127000,2315.138227
Slovak Republic,Europe,1952,64.36,3558137,5074.659104
Slovenia,Europe,1952,65.57,1489518,4215.041741
Somalia,Africa,1952,32.978,2526994,1135.749842
South Africa,Africa,1952,45.009,14264935,4725.295531
Spain,Europe,1952,64.94,28549870,3834.034742
Sri Lanka,Asia,1952,57.593,7982342,1083.53203
Sudan,Africa,1952,38.635,8504667,1615.991129
Swaziland,Africa,1952,41.407,290243,1148.376626
Sweden,Europe,1952,71.86,7124673,8527.844662
Switzerland,Europe,1952,69.62,4815000,14734.23275
Syria,Asia,1952,45.883,3661549,1643.485354
Taiwan,Asia,1952,58.5,8550362,1206.947913
Tanzania,Africa,1952,41.215,8322925,716.6500721
Thailand,Asia,1952,50.848,21289402,757.7974177
Togo,Africa,1952,38.596,1219113,859.8086567
Trinidad and Tobago,Americas,1952,59.1,662850,3023.271928
Tunisia,Africa,1952,44.6,3647735,1468.475631
Turkey,Europe,1952,43.585,22235677,1969.10098
Uganda,Africa,1952,39.978,5824797,734.753484
United Kingdom,Europe,1952,69.18,50430000,9979.508487
United States,Americas,1952,68.44,157553000,13990.48208
Uruguay,Americas,1952,66.071,2252965,5716.766744
Venezuela,Americas,1952,55.088,5439568,7689.799761
Vietnam,Asia,1952,40.412,26246839,605.0664917
West Bank and Gaza,Asia,1952,43.16,1030585,1515.592329
"Yemen, Rep.",Asia,1952,32.548,4963829,781.7175761
Zambia,Africa,1952,42.038,2672000,1147.388831
Zimbabwe,Africa,1952,48.451,3080907,406.8841148
